Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","044","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","15.02","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","048","Bahreïn","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","9124.73","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","048","Bahreïn","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","62226.13","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","048","Bahreïn","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","251.2","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","048","Bahreïn","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","136.35","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","048","Bahreïn","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","13.75","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","050","Bangladesh","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","210615.29","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","050","Bangladesh","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","1.02","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","050","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","4.27","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","050","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","0.43","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","052","Barbade","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","15734.95","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","052","Barbade","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","1038.08","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","052","Barbade","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","42.48","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","052","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","188.26","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","052","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","13.91","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","112","Bélarus","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","512515.3","E","Valeur estimée"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","112","Bélarus","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","19637.68","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","112","Bélarus","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","192540.36","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","112","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","106.79","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","112","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","10.77","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","056","Belgique","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","441300","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","056","Belgique","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","204128.5","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","056","Belgique","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","458749.07","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","056","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","31.68","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","056","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","3.19","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","084","Belize","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","18298","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","084","Belize","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","73.11","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","084","Belize","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","15.95","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","084","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","99.91","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","084","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","7.38","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","204","Bénin","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","15508","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","204","Bénin","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","49749.83","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","11.8","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","204","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","1.67","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","064","Bhoutan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","1835.39","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","064","Bhoutan","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","1108.82","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","064","Bhoutan","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","13.24","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","064","Bhoutan","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","1.34","T","Chiffre non officiel"
